R,G,B,Temperature
0,0,0,0
4,129,0,1
10,132,0,2
14,134,0,3
20,137,0,4
24,139,0,5
30,142,0,6
36,145,0,7
40,147,0,8
46,150,0,9
50,152,0,10
56,155,0,11
62,158,0,12
65,160,0,13
72,163,0,14
76,165,0,15
81,168,0,16
86,170,0,17
92,173,0,18
97,176,0,19
102,178,0,20
108,181,0,21
112,183,0,22
118,186,0,23
124,189,0,24
128,191,0,25
134,194,0,26
138,196,0,27
144,199,0,28
147,201,0,29
154,204,0,30
160,207,0,31
163,209,0,32
170,212,0,33
174,214,0,34
179,217,0,35
186,220,0,36
190,222,0,37
195,225,0,38
200,227,0,39
206,230,0,40
211,233,0,41
216,235,0,42
222,238,0,43
226,240,0,44
232,243,0,45
236,245,0,46
242,248,0,47
248,251,0,48
252,253,0,49
255,252,0,50
255,248,0,51
255,242,0,52
255,236,0,53
255,232,0,54
255,226,0,55
255,222,0,56
255,216,0,57
255,211,0,58
255,206,0,59
255,200,0,60
255,195,0,61
255,190,0,62
255,186,0,63
255,179,0,64
255,174,0,65
255,170,0,66
255,163,0,67
255,160,0,68
255,154,0,69
255,147,0,70
255,144,0,71
255,138,0,72
255,134,0,73
255,128,0,74
255,124,0,75
255,118,0,76
255,112,0,77
255,108,0,78
255,102,0,79
255,97,0,80
255,92,0,81
255,86,0,82
255,81,0,83
255,76,0,84
255,72,0,85
255,65,0,86
255,62,0,87
255,56,0,88
255,49,0,89
255,46,0,90
255,40,0,91
255,36,0,92
255,30,0,93
255,24,0,94
255,20,0,95
255,14,0,96
255,9,0,97
255,4,0,98
255,0,0,99
